CP_hi	CM_hi	CF_hi	CTS_13	cisTarget_HAND1;HAND2.motif_target	cisTarget_PLAG1.motif_target	cisTarget_FOXA2;FOXD2.motif_target	cisTarget_ZNF652.motif_target	cisTarget_CLOCK;EVX1.motif_target	cisTarget_ARID3A;CDX2;CEBPA;CEBPB;CEBPD;CEBPE;CEBPG;CRX;DBP;ETS1;GFI1;GFI1B;HNF1A;IKZF1;IKZF2;MZF1;NKX3-2;PDX1;POU2F1;PURA;SPZ1;STAT1;WT1;YY1;ZNF333;ZNF354C.motif_target	cisTarget_OSR2.motif_target	cisTarget_ZSCAN10.motif_target	cisTarget_ZNF780B.motif_target	cisTarget_IRF4.motif_target	cisTarget_DLX2;DLX3;ERF;ETV2;ETV5;ETV7;EVX1;FLI1;GSC2;HOXA2;HOXB2;PDX1;PITX1;SOX15;VAX1.motif_target	cisTarget_PRDM10.motif_target	cisTarget_ASH2L.motif_target	cisTarget_GATA3.motif_target	cisTarget_ZNF112.motif_target	cisTarget_SOX17.motif_target	cisTarget_ZXDA;ZXDB.motif_target	cisTarget_ZNF630.motif_target	cisTarget_ELF1;ETS1;ETV7;GCM1;SPDEF;TEAD4.motif_target	cisTarget_HOXB2;PAX3;PAX5;PAX7;PAX9;ZNF337.motif_target	cisTarget_CBFB;RUNX1;RUNX2;RUNX3.motif_target	cisTarget_ZNF202.motif_target	cisTarget_ZNF629.motif_target	cisTarget_ZSCAN5A.motif_target	cisTarget_ZNF384.motif_target	cisTarget_ZNF343.motif_target	cisTarget_NR1H4;RXRA.motif_target	cisTarget_ZNF16.motif_target	cisTarget_IRF7.motif_target	cisTarget_CEBPA;CEBPB;CEBPD;CEBPE;CEBPG;DLX2;DLX3;GCM1;NFIL3;TEAD4.motif_target	cisTarget_ARID3A;E2F1;ELF1;ELK1;ETS1;ETS2;FOS;FOSB;FOSL1;FOSL2;GABPA;GATA1;GATA2;GATA3;GATA4;GATA5;GATA6;GFI1;GFI1B;HMGA1;HMGA2;HOXA13;IKZF1;ILF2;IRF4;JUN;JUNB;JUND;KLF4;LTF;MYB;MZF1;NFATC2;NKX2-1;NR3C1;PAX4;PDX1;POU3F1;PURA;SPI1;STAT1;STAT6;TCF7L1;YY1;YY2;ZNF333.motif_target	cisTarget_ZNF607.motif_target	cisTarget_CEBPA;CEBPB;CEBPD;CEBPE;CEBPG;DLX3;GCM1;TEAD4.motif_target	cisTarget_ZFP1.motif_target	cisTarget_ZNF274;ZNF280A.motif_target	cisTarget_PITX2.motif_target	cisTarget_EOMES;HOXD12.motif_target	cisTarget_FIZ1;ZNF322.motif_target	cisTarget_ZNF528.motif_target	cisTarget_ZNF394.motif_target	cisTarget_E2F1;EBF1;ING4;NFATC3;NFATC4;STAT1;USF2;ZBTB7A;ZEB1.motif_target	cisTarget_DLX3;EHF;ELF1;ELF2;ELF4;ELF5;ELK1;ELK3;ELK4;ERF;ERG;ETS1;ETS2;ETV1;ETV2;ETV3;ETV4;ETV5;ETV7;FEV;FIGLA;FLI1;FOXI1;FOXJ2;FOXO1;GABPA;GATA1;GATA2;GATA3;GATA4;GATA5;GATA6;HOXB2;IKZF1.motif_target	cisTarget_ZNF684.motif_target	cisTarget_EHF;ELF1;ELF3;ELF4;ELF5;ELK1;ERG;ETS1;ETS2;ETV1;ETV2;ETV4;ETV5;FLI1;FOXG1;FOXI1;FOXJ2;FOXO1;GABPA;GABPB1;GATA1;GATA2;GATA3;GATA4;GATA5;GATA6;IKZF1;IKZF3;ILF2;NFATC2;PURA;SMAD4;TFAP2C.motif_target	cisTarget_ZNF782.motif_target	cisTarget_ZZZ3.motif_target	cisTarget_ZNF319.motif_target	cisTarget_ZNF276;ZSCAN21.motif_target	cisTarget_SALL3.motif_target	cisTarget_RUNX1.motif_target	cisTarget_ETV4;FIGLA;FLI1;MAX;TFAP4.motif_target	cisTarget_HOXA9;MEIS1;MEIS2;MEIS3;MYOD1;PBX1;PBX2;PBX3;PBX4;PKNOX1;PKNOX2;TGIF1;TGIF2;TGIF2LX;TGIF2LY.motif_target	cisTarget_ZNF426.motif_target	cisTarget_ZNF2.motif_target	cisTarget_CCDC160;E2F1;PAX4;POU1F1;POU2AF1;POU2F1;POU2F2;POU2F3;POU3F1;POU3F2;POU3F3;POU3F4;POU4F1;POU5F1;POU5F1B;POU5F2;YY1.motif_target	cisTarget_CRX;FOS;FOSB;FOSL1;FOSL2;FOXO1;HOXA13;HOXC8;ISL1;JUN;JUNB;JUND;NFE2L1;NKX3-2;NKX6-2;NR1H4;NR1I2;NR1I3;PAX4;PBX1;PDX1;POU1F1;POU2F1;POU3F1;POU3F2;RAX;RXRA;TAF6;TBP;TLX2.motif_target	cisTarget_IKZF2.motif_target	cisTarget_ETV5;EVX1.motif_target	cisTarget_ZXDB.motif_target	cisTarget_SPDEF;TEAD4.motif_target	cisTarget_PAX3;ZNF337.motif_target	cisTarget_RUNX3.motif_target	cisTarget_CEBPD;TEAD4.motif_target	cisTarget_HMGA1;HMGA2;KLF4.motif_target	cisTarget_CEBPB;TEAD4.motif_target	cisTarget_ZNF274.motif_target	cisTarget_NFATC3;ZEB1.motif_target	cisTarget_FOXI1.motif_target	cisTarget_ERG;ETV2;FLI1.motif_target	cisTarget_FIGLA.motif_target	cisTarget_ZXDA.motif_target	cisTarget_MEIS1;MEIS2;MEIS3;PBX1;PBX2;PBX3;PBX4;PKNOX1;PKNOX2;TGIF1;TGIF2;TGIF2LX;TGIF2LY.motif_target	cisTarget_POU3F3.motif_target	cisTarget_CRX;NKX3-2.motif_target	HAND2_CP_candidate	HAND2_CM_candidate	HAND2_CF_candidate	FOXA2_CP_candidate	FOXA2_CM_candidate	FOXA2_CF_candidate	GATA3_CP_candidate	GATA3_CM_candidate	GATA3_CF_candidate	SOX17_CP_candidate	SOX17_CM_candidate	SOX17_CF_candidate
TIE1	0	0	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1
TMEM38B	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TSPAN8	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
THSD1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TXNIP	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NID1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAP3K11	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ORAI3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADORA2A	0	0	0	1	1	0	0	0	0	1	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	1	1	0	0	1	1	0	0	1	0	0	0	0	0	1	0	1	1	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PXDC1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
FMO1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AMPD2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RHBDF1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BCL6B	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM255A	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XIAP	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WAS	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
